Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP1_Full64; Runtime version X-2025.06-SP1_Full64;  May  4 14:17 2026

 VCS Coverage Metrics Release X-2025.06-SP1_Full64 Copyright (c) 1991-2025 by Synopsys Inc.
[Cycle 765000] PC=0xdc | instr=0000368b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 775000] PC=0xe0 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 785000] PC=0xe4 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 795000] PC=0xe8 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 805000] PC=0xec | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 815000] PC=0xf0 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 825000] PC=0xf4 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 835000] PC=0xf8 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 845000] PC=0xfc | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 855000] PC=0x100 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 865000] PC=0x104 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 875000] PC=0x108 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 885000] PC=0x10c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 895000] PC=0x110 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 905000] PC=0x114 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 915000] PC=0x118 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 925000] PC=0x11c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 935000] PC=0x120 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 945000] PC=0x124 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 955000] PC=0x128 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 965000] PC=0x12c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 975000] PC=0x130 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 985000] PC=0x134 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 995000] PC=0x138 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1005000] PC=0x13c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1015000] PC=0x140 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1025000] PC=0x144 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1035000] PC=0x148 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1045000] PC=0x14c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1055000] PC=0x150 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1065000] PC=0x154 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1075000] PC=0x158 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1085000] PC=0x15c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1095000] PC=0x160 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1105000] PC=0x164 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1115000] PC=0x168 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1125000] PC=0x16c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1135000] PC=0x170 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1145000] PC=0x174 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1155000] PC=0x178 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1165000] PC=0x17c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1175000] PC=0x180 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1185000] PC=0x184 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1195000] PC=0x188 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
